record_id,customer_id,customer_name,customer_segment,city,state,event_ts,event_date,cell_tower_id,network_type,call_type,duration_sec,data_mb,sms_count,dropped_flag,signal_strength,latency_ms,complaint_code,revenue_inr,plan_type
1,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-03 12:38:00,2026-01-03,DEL_301,4G,DATA_SESSION,305,1842.5,0,0,46,236,NO_ISSUE,37.67,CORPORATE
2,1007,Vi SME,SMB,Kolkata,West Bengal,2026-01-21 07:33:00,2026-01-21,PUN_601,4G,VOICE,1800,0.0,0,1,55,236,NO_ISSUE,14.6,PREPAID
3,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-02-02 22:12:00,2026-02-02,HYD_501,4G,DATA_SESSION,1672,113.41,0,0,93,294,NO_ISSUE,40.69,CORPORATE
4,1004,BSNL SME,SMB,Chennai,Tamil Nadu,2026-03-06 09:09:00,2026-03-06,HYD_501,5G,VOICE,1603,0.0,0,0,45,69,LOW_SPEED,20.2,PREPAID
5,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-01-20 07:40:00,2026-01-20,DEL_301,5G,DATA_SESSION,1419,1621.85,0,0,56,146,DROP,52.57,CORPORATE
6,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-03-18 23:14:00,2026-03-18,DEL_301,4G,DATA_SESSION,1703,85.09,0,0,75,225,NO_ISSUE,19.76,POSTPAID
7,1008,BSNL Broadband,Retail,Mysuru,Karnataka,2026-02-06 06:16:00,2026-02-06,PUN_601,4G,SMS,0,0.0,1,0,53,155,NO_ISSUE,0.2,POSTPAID
8,1006,Jio Postpaid,Retail,Pune,Maharashtra,2026-01-21 05:06:00,2026-01-21,PUN_601,4G,SMS,0,0.0,1,0,98,66,DROP,0.08,CORPORATE
9,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-02-05 06:32:00,2026-02-05,HYD_501,5G,VOICE,1103,0.0,0,0,36,184,DROP,20.55,CORPORATE
10,1002,Jio Fiber Home,Retail,Mumbai,Maharashtra,2026-01-27 23:09:00,2026-01-27,DEL_301,4G,VOICE,1498,0.0,0,0,68,276,DROP,22.7,CORPORATE
11,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-02-04 06:49:00,2026-02-04,DEL_301,4G,DATA_SESSION,1614,2306.47,0,0,35,185,NO_ISSUE,68.23,POSTPAID
12,1001,Airtel Business,Enterprise,Bengaluru,Karnataka,2026-01-23 04:11:00,2026-01-23,KOL_701,5G,SMS,0,0.0,1,0,45,197,NO_ISSUE,0.2,PREPAID
13,1003,Vi Corporate,Enterprise,Delhi,Delhi,2026-01-25 09:01:00,2026-01-25,BLR_102,4G,VOICE,453,0.0,0,0,60,179,NO_ISSUE,8.35,POSTPAID
